subscription_id,damage_type,damage_category,invoiced_amount
14953573453,Verformt / Verzogen,Heckklappe,0.0
14953573453,Verformt / Verzogen,Tür,0.0
15185253154,Lackschaden,Motorhaube,0.0
15185253154,Verätzung,Sonstige,0.0
15185253154,Lackschaden,Tür,0.0
15185253154,Lackschaden,Tür,0.0
15185253154,Lackschaden,Sonstige,0.0
14919927990,Verätzung,Motorhaube,75.0
15670171034,Verätzung,Sonstige,75.0
14999217188,Verwittert / Matt,Motorhaube,0.0
15411294644,Verätzung,Sonstige,0.0
16039501988,Lackabplatzer,Kotflügel,90.0
16039501988,Verätzung,,52.93
15220429692,Verwittert / Matt,Sonstige,300.0
16039501988,Lackabplatzer,Kotflügel,0.0
15169605926,Batterie entladen,Batterie,0.0
18011910462,Verätzung,Motorhaube,0.0
19190795290,Fehlermeldung,Sonstige,0.0
19166486815,Fehlermeldung,Sonstige,0.0
18842905975,Instandsetzungsspuren,Heckklappe,0.0
18996279396,ausgelassen,Sonstige,0.0
19136715854,Instandsetzungsspuren,Heckklappe,0.0
19136715854,Instandsetzungsspuren,Heckklappe,0.0
18148719645,Lackabplatzer,Felge,91.43
19440064063,Fehlermeldung,Sonstige,0.0
19934540440,Lackabplatzer,Felge,233.18
18133116261,Instandsetzungsspuren,Motorhaube,999.63
18144980028,Servicenachweis,Sonstige,0.0
19370917977,Verätzung,Sonstige,75.0
20147902262,Instandsetzungsspuren,Tür,0.0
20147902262,Instandsetzungsspuren,Tür,0.0
20029541548,Funktionsstörung,Motorhaube,0.0
20584638059,Instandsetzungsspuren,Sonstige,0.0
20584638059,Instandsetzungsspuren,Sonstige,0.0
20237180193,ausgelassen,Sonstige,0.0
18089506421,Verwittert / Matt,Tür,0.0
19292146779,Verätzung,Motorhaube,0.0
20929880461,Fehlermeldung,,0.0
20929880461,Verätzung,Motorhaube,90.0
20759513136,Klebereste,Scheibe,0.0
21798585979,Verätzung,Motorhaube,110.0
21128358468,Servicenachweis,Sonstige,0.0
19487774218,Instandsetzungsspuren,Sonstige,0.0
19487774218,Instandsetzungsspuren,Sonstige,0.0
21138355320,Instandsetzungsspuren,Motorhaube,0.0
21185103451,Fehlermeldung,,0.0
34516026198,Servicenachweis,Sonstige,0.0
34444754203,Servicenachweis,Sonstige,0.0
36838821491,Verätzung,Motorhaube,0.0
23380158827,Instandsetzungsspuren,Motorhaube,0.0
23380158827,Instandsetzungsspuren,Motorhaube,0.0
21522431344,Instandsetzungsspuren,Sonstige,0.0
16091971078,elektrischer Fehler,Sonstige,0.0
15110555679,Instandsetzungsspuren,Sonstige,0.0
15148966536,Verformt / Verzogen,Stoßfänger,690.0
15344864039,Fehlstellung,Sonstige,30.0
15297552553,Verformt / Verzogen,Motorhaube,660.0
18311347005,Verformt / Verzogen,Motorhaube,0.0
18555194765,Instandsetzungsspuren,Motorhaube,0.0
18555194765,Lackschaden,Felge,120.0
20567663219,abgelaufen,Sonstige,0.0
20567663219,Lackschaden,Heckklappe,0.0
18954620831,Lackschaden,Tür,0.0
20674546870,abgelaufen,Sonstige,0.0
20674546870,lose,Sonstige,0.0
19666538322,Lackschaden,Motorhaube,0.0
19666538322,Fehlstellung,Sonstige,0.0
20771113316,Verformt / Verzogen,Tür,1000.0
19666495522,Hagelschaden,Sonstige,500.0
20742239056,Lackschaden,Motorhaube,0.0
20378385796,Lackschaden,Tür,0.0
20378385796,Lackschaden,Tür,0.0
19536350889,korrodiert,Scheibe,0.0
19536350889,korrodiert,Scheibe,0.0
21154773333,abgelaufen,Sonstige,0.0
21071047059,Verformt / Verzogen,Tür,740.0
20952007851,Fehlstellung,Motorhaube,50.0
19829651321,Instandsetzungsspuren,Felge,0.0
19829651321,Verformt / Verzogen,Motorhaube,0.0
19843014724,Verformt / Verzogen,Motorhaube,0.0
19843014724,Lackschaden,Sonstige,0.0
19843014724,Lackschaden,Tür,0.0
18574269463,Löcher,Sonstige,60.0
19708654422,Undicht,Sonstige,0.0
19708654422,Instandsetzungsspuren,Sonstige,1410.0
20509691450,Verformt / Verzogen,Motorhaube,0.0
20898372191,abgelaufen,Sonstige,0.0
21580698437,Verformt / Verzogen,Tür,1000.0
20680160373,Verformt / Verzogen,Motorhaube,0.0
21591524999,Lackschaden,Sonstige,0.0
21105076085,Fehlstellung,Sonstige,0.0
20770020471,Lackschaden,Motorhaube,0.0
20903539590,Lackschaden,Stoßfänger,0.0
21020143881,Instandsetzungsspuren,Stoßfänger,0.0
20758197636,Lackschaden,Sonstige,0.0
19219951137,Lackschaden,Stoßfänger,0.0
19219951137,Verformt / Verzogen,Motorhaube,0.0
19979924021,Verformt / Verzogen,Motorhaube,270.0
20794672273,abweichend der Vertragsvorgaben,Sonstige,0.0
20794672273,Verformt / Verzogen,Tür,0.0
19654711842,Verformt / Verzogen,Tür,0.0
20875128857,Verformt / Verzogen,Tür,270.0
21279785293,Lackschaden,Motorhaube,540.0
21279785293,Lackschaden,Sonstige,0.0
21793883747,Verformt / Verzogen,Tür,750.0
19624830572,Instandsetzungsspuren,Motorhaube,0.0
20711613821,Lackschaden,Sonstige,490.0
21090583661,Lackschaden,Sonstige,110.0
21090583661,Lackschaden,Tür,110.0
19405870433,abweichend Auslieferungszustand,Innenraum,0.0
21128535090,Verformt / Verzogen,Stoßfänger,1040.0
21128535090,Instandsetzungsspuren,Motorhaube,0.0
21157736258,Verformt / Verzogen,Sonstige,50.0
21207854671,Instandsetzungsspuren,Motorhaube,0.0
21614156191,Lackschaden,Motorhaube,0.0
20074191700,abweichend Auslieferungszustand,Sonstige,0.0
20813148018,Lackschaden,Heckklappe,0.0
21244407116,Lackschaden,Sonstige,0.0
21770667011,Lackschaden,Motorhaube,0.0
21770667011,Verformt / Verzogen,Sonstige,0.0
22222654026,Lackschaden,Sonstige,0.0
22048423590,Lackschaden,Sonstige,0.0
21280981810,elektrischer Fehler,Sonstige,0.0
21280981810,Lackschaden,Sonstige,0.0
21639718000,Lackschaden,Motorhaube,110.0
21946634040,Hagelschaden,Sonstige,1550.0
21946634040,Lackschaden,Motorhaube,110.0
21930513054,Verformt / Verzogen,Motorhaube,0.0
22135837284,Lackschaden,Sonstige,110.0
21545866286,Lackschaden,Motorhaube,0.0
21705327992,Verformt / Verzogen,Motorhaube,0.0
22284493318,Lackschaden,Kotflügel,0.0
22284493318,Lackschaden,Kotflügel,0.0
21540781378,Lackschaden,Motorhaube,0.0
21561445468,Verformt / Verzogen,Sonstige,0.0
21561445468,Lackschaden,Motorhaube,0.0
21524107865,Instandsetzungsspuren,Felge,590.0
21524107865,Instandsetzungsspuren,Felge,590.0
21524107865,Instandsetzungsspuren,Felge,590.0
21038068608,Lackschaden,Sonstige,440.0
23132034898,Verformt / Verzogen,Motorhaube,0.0
22999454626,Lackschaden,Sonstige,0.0
21279811760,Instandsetzungsspuren,Stoßfänger,810.0
28769224084,Fehlstellung,Sonstige,0.0
22319906981,Lackschaden,Motorhaube,0.0
21508420621,Verformt / Verzogen,Motorhaube,0.0
22854845297,Verformt / Verzogen,Tür,975.0
21581897506,Lackschaden,Motorhaube,0.0
22175572894,Verformt / Verzogen,Motorhaube,0.0
22462755154,Verformt / Verzogen,Motorhaube,0.0
22960720135,Verformt / Verzogen,Motorhaube,0.0
22960720135,Fehlstellung,Sonstige,50.0
22557571117,Lackschaden,Motorhaube,0.0
23113710976,Verformt / Verzogen,Motorhaube,0.0
23358567220,Verformt / Verzogen,Motorhaube,0.0
23377119820,Verformt / Verzogen,Motorhaube,0.0
22751791204,Verformt / Verzogen,Motorhaube,0.0
22404164140,Verformt / Verzogen,Tür,0.0
22404164140,Verformt / Verzogen,Tür,740.0
22404164140,Verformt / Verzogen,Motorhaube,0.0
23315755842,Verformt / Verzogen,Motorhaube,500.0
23315755842,Verformt / Verzogen,Sonstige,0.0
23315755842,Verformt / Verzogen,Sonstige,0.0
23315755842,Verformt / Verzogen,Tür,740.0
22391143043,Verformt / Verzogen,Motorhaube,0.0
22391143043,abweichend Auslieferungszustand,Sonstige,0.0
23350689689,Verformt / Verzogen,Motorhaube,910.0
22512575818,Verformt / Verzogen,Motorhaube,0.0
23403456636,Verformt / Verzogen,Heckklappe,940.0
23403456636,Verformt / Verzogen,Motorhaube,0.0
22322683473,Verformt / Verzogen,Motorhaube,0.0
23013834648,Verformt / Verzogen,Motorhaube,0.0
23228684073,Verformt / Verzogen,Motorhaube,0.0
28438121530,Verformt / Verzogen,Motorhaube,0.0
28438121530,Instandsetzungsspuren,Scheibe,0.0
28257438594,Verformt / Verzogen,Motorhaube,0.0
22328631985,Instandsetzungsspuren,Motorhaube,0.0
22508165437,Lackschaden,Sonstige,320.0
34724853261,Verformt / Verzogen,Motorhaube,0.0
34724853261,Löcher,Sonstige,0.0
28651312825,Verformt / Verzogen,Motorhaube,0.0
23158845622,lose,Sonstige,0.0
28297932862,lose,Sonstige,0.0
22373768575,Verformt / Verzogen,Sonstige,0.0
22373768575,Verformt / Verzogen,Motorhaube,0.0
22718701870,Lackschaden,Tür,0.0
22718701870,Verformt / Verzogen,Motorhaube,0.0
28539752506,Verformt / Verzogen,Motorhaube,0.0
28918390360,Verformt / Verzogen,Motorhaube,0.0
28425496986,Instandsetzungsspuren,Motorhaube,0.0
29041908510,Funktionsstörung,Sonstige,0.0
28411643212,Verformt / Verzogen,Sonstige,190.0
28428809611,Verformt / Verzogen,Motorhaube,0.0
33123623991,Verformt / Verzogen,Motorhaube,0.0
29217633087,Verformt / Verzogen,Motorhaube,690.0
22380078419,Verformt / Verzogen,Motorhaube,0.0
23228206692,Verformt / Verzogen,Motorhaube,0.0
29464862904,Verformt / Verzogen,Motorhaube,0.0
32421880455,Verformt / Verzogen,Tür,680.0
32421880455,Verformt / Verzogen,Motorhaube,0.0
32421880455,Instandsetzungsspuren,Scheibe,0.0
33860551837,Verformt / Verzogen,Motorhaube,0.0
37124178288,abweichend der Vertragsvorgaben,Sonstige,0.0
37124178288,Verformt / Verzogen,Motorhaube,0.0
19378494005,Korrosion / Rost,Tür,0.0
19378494005,Korrosion / Rost,Tür,0.0
20710379408,Verätzung,Motorhaube,75.0
20710379408,Verätzung,Tür,0.0
19901460382,Luftdruck zu gering,Sonstige,0.0
18123143306,Instandsetzungsspuren,,86.97
18699025418,Funktionsstörung,,0.0
18046621761,Luftdruck zu gering,Sonstige,0.0
19068438346,Untermaß,Sonstige,0.0
19243395767,Klebereste,Scheibe,0.0
18091841358,Klebereste,Scheibe,0.0
20185726888,Klebereste,Scheibe,0.0
20259855876,lose,,0.0
28427705904,Hagelschaden,Motorhaube,0.0
28427705904,Hagelschaden,Sonstige,270.0
28427705904,Hagelschaden,Sonstige,360.0
20780422007,Funktionsstörung,Sonstige,0.0
18126100848,Verformt / Verzogen,Motorhaube,0.0
19352991400,Verformt / Verzogen,Sonstige,860.0
19284837303,Verformt / Verzogen,Heckklappe,1250.0
19284837303,Verformt / Verzogen,Motorhaube,1120.0
20640103852,Instandsetzungsspuren,Felge,660.0
18632459141,Verformt / Verzogen,Motorhaube,740.0
20192963650,lose,Sonstige,90.0
18421955703,Instandsetzungsspuren,Tür,0.0
18377225064,Instandsetzungsspuren,Felge,0.0
20921729819,Verformt / Verzogen,Stoßfänger,1000.0
20771845790,Undicht,Sonstige,0.0
21197747757,Löcher,Tür,480.0
21269444513,Funktionsstörung,Sonstige,0.0
21295408659,Verformt / Verzogen,Motorhaube,0.0
21295408659,elektrischer Fehler,,0.0
22426899100,Fehlstellung,Sonstige,0.0
22996381558,Verformt / Verzogen,Motorhaube,710.0
23354183863,Verformt / Verzogen,Motorhaube,500.0
23354183863,Fehlstellung,Sonstige,70.0
23005623813,Verformt / Verzogen,Motorhaube,0.0
23005623813,Lackschaden,Sonstige,0.0
22024531236,Verformt / Verzogen,Motorhaube,0.0
23235390047,Verformt / Verzogen,Motorhaube,0.0
23296502306,Verformt / Verzogen,Motorhaube,0.0
23238369154,Verformt / Verzogen,Motorhaube,0.0
23238369154,Fehlstellung,Sonstige,0.0
23239829381,Verformt / Verzogen,Motorhaube,0.0
23001738252,Löcher,Sonstige,0.0
23001738252,Verformt / Verzogen,Motorhaube,0.0
23373212436,Verformt / Verzogen,Motorhaube,0.0
23036498326,Verformt / Verzogen,Motorhaube,0.0
28334441583,Lackschaden,Tür,480.0
28334441583,Verformt / Verzogen,Motorhaube,710.0
22989910456,Verformt / Verzogen,Motorhaube,1000.0
28299761565,Lackschaden,Tür,0.0
28299761565,Verformt / Verzogen,Motorhaube,0.0
23105679988,Lackschaden,Stoßfänger,0.0
23105679988,Verformt / Verzogen,Motorhaube,0.0
23105679988,Lackschaden,Tür,0.0
23105679988,Lackschaden,Sonstige,0.0
23105679988,Lackschaden,Tür,0.0
22050225483,Verformt / Verzogen,Motorhaube,0.0
23097764674,Verformt / Verzogen,Sonstige,470.0
23109587605,Verformt / Verzogen,Motorhaube,0.0
22804879380,Verformt / Verzogen,Motorhaube,0.0
28462624843,Verformt / Verzogen,Heckklappe,0.0
28462624843,Verformt / Verzogen,Stoßfänger,0.0
29314779504,Instandsetzungsspuren,Stoßfänger,0.0
29314779504,Verformt / Verzogen,Motorhaube,0.0
23297043989,Verformt / Verzogen,Tür,590.0
23389544756,Verformt / Verzogen,Motorhaube,1170.0
28335444889,Verformt / Verzogen,Motorhaube,630.0
31743046814,Instandsetzungsspuren,Motorhaube,0.0
22564690969,Verformt / Verzogen,Sonstige,0.0
22564690969,Verformt / Verzogen,Motorhaube,0.0
22650004365,Verformt / Verzogen,Motorhaube,0.0
28519286946,Verformt / Verzogen,Motorhaube,0.0
23002494534,Verformt / Verzogen,Motorhaube,0.0
28704708787,Verformt / Verzogen,Motorhaube,0.0
28428640582,Lackschaden,Heckklappe,0.0
28834958477,korrodiert,,0.0
32103602835,Klebereste,Scheibe,0.0
28578215291,Instandsetzungsspuren,Sonstige,0.0
28578215291,Instandsetzungsspuren,Sonstige,1000.0
11712440583,Fehlstellung,Sonstige,0.0
11828444739,Funktionsstörung,Sonstige,0.0
12437954688,abweichend der Vertragsvorgaben,Sonstige,0.0
12474870800,Tierschaden,Sonstige,180.0
12775825003,Hagelschaden,Sonstige,0.0
15121427590,Undicht,Beleuchtung,0.0
15121427590,Undicht,Beleuchtung,0.0
15874623621,Instandsetzungsspuren,Tür,0.0
15874623621,Lackschaden,Stoßfänger,120.0
