subscription_id,customer_id,subscription_start_date,return_date,follow_up_subscription_id,churned,csat_score,csat_classification,filed_complaint,total_damage_amount,excess_mileage_amount,pickup_fee_amount,damage_item_count,has_paid_scratch,has_paid_dent,has_paid_stonechip,has_paid_cleaning,has_paid_defect,has_paid_missing_part,scratch_amount,dent_amount,stonechip_amount,cleaning_amount,defect_amount,return_year
38311663521,195996651,2025-07-21,2025-10-22,,1,-1,,0,505,18.18,249,2,1,0,0,1,0,0,470.0,0.0,0.0,35.0,0.0,2025
17575146022,475630001,2024-04-30,2025-04-29,33109165920,0,-1,,1,1057.3,0,0,9,1,0,0,0,0,0,1057.3,0.0,0.0,0.0,0.0,2025
20030122539,462931001,2024-07-22,2025-07-23,38861485670,0,-1,,0,126.83,0,0,8,0,0,0,0,1,0,0.0,0.0,0.0,0.0,126.83,2025
32333934753,91870162754,2025-02-06,2025-09-08,42660834485,0,-1,,0,3788.04,204.16,0,12,1,0,0,0,1,0,3663.12,0.0,0.0,0.0,124.92,2025
9666826935,268704753,2022-08-12,2023-08-14,,1,-1,,0,440.54,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2023
12534742921,411087451,2023-04-12,2023-10-04,,1,-1,,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2023
10881358161,328862951,2022-12-13,2024-03-14,,1,-1,,1,3031.56,1540.75,199,20,1,0,0,0,1,0,1988.3600000000001,0.0,0.0,0.0,493.2,2024
12735645079,212557951,2023-05-11,2024-05-12,17441862045,0,-1,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2024
15328430670,300421551,2023-11-20,2024-12-12,,1,-1,,0,2035,1363.45,249,11,1,0,0,0,0,1,1150.0,0.0,0.0,0.0,0.0,2024
33622993756,204462551,2025-06-10,2025-12-18,46083926395,0,-1,,0,0,40.75,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2025
9645251963,267427901,2022-08-17,2023-02-16,,1,-1,,0,1086.62,0,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2023
11674498585,373481551,2023-02-08,2023-08-07,,1,-1,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2023
9676963469,84237501,2022-10-20,2023-10-18,,1,-1,,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2023
